IP,Name,Model,ConnectedDevice,LocalPort,RemotePort,Location,Geolocation
192.168.10.1,Core-SW1,SG500-52,192.168.10.2,GE1,gi1,Core,SiteA
192.168.10.1,Core-SW1,SG500-52,192.168.20.1,GE2,gi2,Core,SiteA
192.168.10.2,Dist-SW1,SG350-28,192.168.10.3,GE2,gi1,Distribution,SiteA
192.168.10.3,Access-SW1,SG250-26,192.168.10.10,GE3,gi1,Access,SiteA
192.168.10.4,Access-SW2,SG250-26,192.168.10.11,GE4,gi1,Access,SiteA
192.168.20.1,Core-SW2,SG500-52,192.168.20.2,GE1,gi1,Core,SiteB
192.168.20.2,Dist-SW2,SG350-28,192.168.20.3,GE2,gi1,Distribution,SiteB
192.168.20.3,Access-SW3,SG250-26,192.168.20.10,GE3,gi1,Access,SiteB
192.168.20.4,Access-SW4,SG250-26,192.168.20.11,GE4,gi1,Access,SiteB
192.168.30.1,Core-SW3,SG500-52,192.168.30.2,GE1,gi1,Core,SiteC
192.168.30.2,Dist-SW3,SG350-28,192.168.30.3,GE2,gi1,Distribution,SiteC
192.168.30.3,Access-SW5,SG250-26,192.168.30.10,GE3,gi1,Access,SiteC
192.168.30.4,Access-SW6,SG250-26,192.168.30.11,GE4,gi1,Access,SiteC
192.168.40.1,Edge-SW1,SG350-28P,192.168.40.2,GE1,gi1,Edge,SiteD
