IP,Name,Model,ConnectedDevice,LocalPort,RemotePort,Location,Geolocation
10.204.19.1,HF-ADM,SG300-52,10.204.19.11,GE1,gi26,HF-ADM,Fab3 HF
10.204.19.1,HF-ADM,SG300-52,10.204.19.7,GE24,gi25,HF-ADM,Fab3 HF
10.204.19.1,HF-ADM,SG300-52,10.204.19.9,GE36,gi42,HF-ADM,Fab3 HF
10.204.19.2,Sala-TI,SG200-50,10.204.19.4,GE23,gi13,Sala-TI,Fab3 HF
10.204.19.3,HF-Inspetores,SG300-28,10.204.19.6,GE5,gi20,HF-Inspetores,Fab3 HF
10.204.19.4,HF-Servers,SG300-28,10.204.19.10,GE1,gi27,HF-Servers,Fab3 HF
10.204.19.4,HF-Servers,SG300-28,10.204.19.5,GE2,gi26,HF-Servers,Fab3 HF
10.204.19.4,HF-Servers,SG300-28,10.204.19.8,GE12,gi28,HF-Servers,Fab3 HF
10.204.19.4,HF-Servers,SG300-28,10.204.19.2,GE13,gi23,HF-Servers,Fab3 HF
10.204.19.4,HF-Servers,SG300-28,SAC-4ANDAR,GE27,gi23,HF-Servers,Fab3 HF
10.204.19.5,HF-LabQuimico-Retrabalho,SG300-28,10.204.19.4,GE26,gi2,HF-LabQuimico-Retrabalho,Fab3 HF
10.204.19.6,HF-Galvano,SG300-28,10.204.19.11,GE4,gi6,HF-Galvano,Fab3 HF
10.204.19.6,HF-Galvano,SG300-28,10.204.19.3,GE20,gi5,HF-Galvano,Fab3 HF
10.204.19.7,HF-Treinamento,SG300-28,10.204.19.1,GE25,gi24,HF-Treinamento,Fab3 HF
10.204.19.8,Recebimento,SG300-28,10.204.19.4,GE28,gi12,Recebimento,Fab3 HF
10.204.19.9,HF-Manutencao-Qualidade,SG300-52,10.204.19.1,GE42,gi36,HF-Manutencao-Qualidade,Fab3 HF
10.204.19.10,HF-Ambulat-LINK-TI,SG300-28,10.204.19.4,GE27,gi1,HF-Ambulat-LINK-TI,Fab3 HF
10.204.19.11,HF - ADM,SG350-28P,10.204.19.6,GE6,gi4,HF - ADM,Fab3 HF
10.204.19.11,HF - ADM,SG350-28P,SAC-4ANDAR,GE25,gi12,HF - ADM,Fab3 HF
10.204.19.11,HF - ADM,SG350-28P,10.204.19.1,GE26,gi1,HF - ADM,Fab3 HF
10.205.1.200,CDL-SALA-TI,SG300-52,10.205.1.201,GE20,gi12,CDL-SALA-TI,CD Loren
10.205.1.200,CDL-SALA-TI,SG300-52,10.205.1.203,GE23,gi27,CDL-SALA-TI,CD Loren
10.205.1.200,CDL-SALA-TI,SG300-52,10.205.1.202,GE49,gi12,CDL-SALA-TI,CD Loren
10.205.1.201,CDL-RAUL,SG300-28,10.205.1.200,GE12,gi20,CDL-RAUL,CD Loren
10.205.1.202,CDL-WMS2,SG300-28,10.205.1.200,GE12,gi49,CDL-WMS2,CD Loren
10.205.1.202,CDL-WMS2,SG300-28,10.205.0.185,GE23,gi24,CDL-WMS2,CD Loren
10.205.1.203,CDL-Macelo,SG300-28,10.205.1.200,GE27,gi23,CDL-Macelo,CD Loren
10.205.0.185,switchb5b474,,10.205.1.202,GE24,gi23,switchb5b474,CD Loren
10.206.1.200,SWPW,SG300-28,10.206.1.202,GE27,gi50,SWPW,CD PW
10.206.1.202,PW2Mezanino,SG200-50,10.206.1.200,GE50,gi27,PW2Mezanino,CD PW
10.203.1.200,SW-Cisco-Gal-CP,SG300-28,10.203.1.201,GE4,gi27,SW-Cisco-Gal-CP,CD Galeazi
10.203.1.200,SW-Cisco-Gal-CP,SG300-28,10.203.1.204,GE7,gi27,SW-Cisco-Gal-CP,CD Galeazi
10.203.1.200,SW-Cisco-Gal-CP,SG300-28,10.203.1.202,GE26,gi24,SW-Cisco-Gal-CP,CD Galeazi
10.203.1.201,SW-Cisco-Gal-PW-Interno,SG300-28,10.203.1.200,GE27,gi4,SW-Cisco-Gal-PW-Interno,CD Galeazi
10.203.1.202,Gal-Parede-Central,SG300-28,10.203.1.200,GE24,gi26,Gal-Parede-Central,CD Galeazi
10.203.1.204,Galeazi-CP-Canto,SG300-28,10.203.1.200,GE27,gi7,Galeazi-CP-Canto,CD Galeazi
10.202.1.200,AvArnoTI,SG300-28PP,10.202.1.203,GE12,gi10,AvArnoTI,FAB2 Arno
10.202.1.200,AvArnoTI,SG300-28PP,10.202.1.202,GE26,gi12,AvArnoTI,FAB2 Arno
10.202.1.200,AvArnoTI,SG300-28PP,10.202.19.2,GE28,gi28,AvArnoTI,FAB2 Arno
10.202.1.202,CD-AvArno-Interno,SG300-28,10.202.0.180,GE11,gi1/0/80,CD-AvArno-Interno,FAB2 Arno
10.202.1.202,CD-AvArno-Interno,SG300-28,10.202.1.200,GE12,gi26,CD-AvArno-Interno,FAB2 Arno
10.202.1.203,SalaTIAvArno,SG350-28P,10.202.0.255,GE1,GigabitEthernet1/0/36,SalaTIAvArno,FAB2 Arno
10.202.1.203,SalaTIAvArno,SG350-28P,10.202.1.200,GE10,gi12,SalaTIAvArno,FAB2 Arno
10.202.1.203,SalaTIAvArno,SG350-28P,10.202.1.204,GE25,gi25,SalaTIAvArno,FAB2 Arno
10.202.1.203,SalaTIAvArno,SG350-28P,10.202.1.210,GE27,gi27,SalaTIAvArno,FAB2 Arno
10.202.1.203,SalaTIAvArno,SG350-28P,10.202.19.8,GE28,gi28,SalaTIAvArno,FAB2 Arno
10.202.1.204,Fabrica2-TI-Treinamento,SG350-28MP,10.202.1.203,GE25,gi25,Fabrica2-TI-Treinamento,FAB2 Arno
10.202.1.204,Fabrica2-TI-Treinamento,SG350-28MP,10.202.1.207,GE26,gi25,Fabrica2-TI-Treinamento,FAB2 Arno
10.202.1.204,Fabrica2-TI-Treinamento,SG350-28MP,10.202.19.16,GE27,gi27,Fabrica2-TI-Treinamento,FAB2 Arno
10.202.1.204,Fabrica2-TI-Treinamento,SG350-28MP,10.202.0.6,GE28,GigabitEthernet0/1,Fabrica2-TI-Treinamento,FAB2 Arno
10.202.1.206,Fab2Portaria1RHSW1,SG350-28P,10.202.19.8,GE27,gi27,Fab2Portaria1RHSW1,FAB2 Arno
10.202.1.207,MezaninoFab2,SG350-28MP,10.202.1.204,GE25,gi26,MezaninoFab2,FAB2 Arno
10.202.1.207,MezaninoFab2,SG350-28MP,10.202.1.208,GE26,gi28,MezaninoFab2,FAB2 Arno
10.202.1.207,MezaninoFab2,SG350-28MP,10.202.1.209,GE28,gi25,MezaninoFab2,FAB2 Arno
10.202.1.208,MezaninoFab2-SW2,SG350-28P,10.202.1.207,GE28,gi26,MezaninoFab2-SW2,FAB2 Arno
